2013-04-22 07:52:30.000,2013-04-29 21:00:00.000
2013-04-29 21:11:15.000,2013-05-08 20:03:45.000
2013-05-08 20:15:00.000,2013-05-16 19:07:30.000
2013-05-16 19:18:45.000,2013-05-24 18:11:15.000
2013-05-24 18:22:30.000,2013-06-03 17:15:00.000
2013-06-03 17:26:15.000,2013-06-11 16:18:45.000
2013-06-11 16:30:00.000,2013-06-19 15:22:30.000
2013-06-19 15:33:45.000,2013-06-27 14:26:15.000
2013-06-27 14:37:30.000,2013-07-05 13:30:00.000
2013-07-05 13:41:15.000,2013-07-15 12:33:45.000
2013-07-15 12:45:00.000,2013-07-23 11:37:30.000
2013-07-23 11:48:45.000,2013-07-31 10:41:15.000
2013-07-31 10:52:30.000,2013-08-08 09:45:00.000
2013-08-08 09:56:15.000,2013-08-16 08:48:45.000
2013-08-16 09:00:00.000,2013-08-26 07:52:30.000
2013-08-26 08:03:45.000,2013-09-03 07:52:30.000
2013-09-03 08:03:45.000,2013-09-10 21:11:15.000
2013-09-10 21:22:30.000,2013-09-18 20:15:00.000
2013-09-18 20:26:15.000,2013-09-26 19:18:45.000
2013-09-26 19:30:00.000,2013-10-04 18:22:30.000
2013-10-04 18:33:45.000,2013-10-14 17:26:15.000
2013-10-14 17:37:30.000,2013-10-22 16:30:00.000
2013-10-22 16:41:15.000,2013-10-30 15:33:45.000
2013-10-30 15:45:00.000,2013-11-07 14:37:30.000
2013-11-07 14:48:45.000,2013-11-15 13:41:15.000
2013-11-15 13:52:30.000,2013-11-25 12:45:00.000
2013-11-25 12:56:15.000,2013-12-03 11:48:45.000
2013-12-03 12:00:00.000,2013-12-11 10:52:30.000
2013-12-11 11:03:45.000,2013-12-19 10:30:00.000
2013-12-19 10:41:15.000,2014-01-03 09:33:45.000
2014-01-03 09:45:00.000,2014-01-13 08:37:30.000
2014-01-13 08:48:45.000,2014-01-20 21:56:15.000
2014-01-21 07:52:30.000,2014-01-28 21:00:00.000
2014-01-28 21:11:15.000,2014-02-05 20:03:45.000
2014-02-05 20:15:00.000,2014-02-13 19:07:30.000
2014-02-13 19:18:45.000,2014-02-21 18:11:15.000
2014-02-21 18:22:30.000,2014-03-03 17:15:00.000
2014-03-03 17:26:15.000,2014-03-11 16:18:45.000
2014-03-11 16:30:00.000,2014-03-19 15:22:30.000
2014-03-19 15:33:45.000,2014-03-27 14:26:15.000
2014-03-27 14:37:30.000,2014-04-04 13:30:00.000
2014-04-04 13:41:15.000,2014-04-14 12:33:45.000
2014-04-14 12:45:00.000,2014-04-24 11:37:30.000
2014-04-24 11:48:45.000,2014-05-05 10:41:15.000
2014-05-05 10:52:30.000,2014-05-13 09:45:00.000
2014-05-13 09:56:15.000,2014-05-21 08:48:45.000
2014-05-21 09:00:00.000,2014-05-29 07:52:30.000
2014-05-29 08:03:45.000,2014-06-05 21:11:15.000
2014-06-05 21:22:30.000,2014-06-13 20:15:00.000
2014-06-13 20:26:15.000,2014-06-23 19:18:45.000
2014-06-23 19:30:00.000,2014-07-01 18:22:30.000
2014-07-01 18:33:45.000,2014-07-09 17:26:15.000
2014-07-09 17:37:30.000,2014-07-17 16:30:00.000
2014-07-17 16:41:15.000,2014-07-25 15:33:45.000
2014-07-25 15:45:00.000,2014-08-04 14:37:30.000
2014-08-04 14:48:45.000,2014-08-12 13:41:15.000
2014-08-12 13:52:30.000,2014-08-20 12:45:00.000
2014-08-20 12:56:15.000,2014-08-28 11:48:45.000
2014-08-28 12:00:00.000,2014-09-05 10:52:30.000
2014-09-05 11:03:45.000,2014-09-15 09:56:15.000
2014-09-15 10:07:30.000,2014-09-23 09:00:00.000
2014-09-23 09:11:15.000,2014-10-01 08:03:45.000
2014-10-01 08:15:00.000,2014-10-08 21:22:30.000
2014-10-08 21:33:45.000,2014-10-16 20:26:15.000
2014-10-16 20:37:30.000,2014-10-24 19:30:00.000
2014-10-24 19:41:15.000,2014-11-03 18:33:45.000
2014-11-03 18:45:00.000,2014-11-11 17:37:30.000
2014-11-11 17:48:45.000,2014-11-19 16:41:15.000
2014-11-19 16:52:30.000,2014-11-27 15:45:00.000
2014-11-27 15:56:15.000,2014-12-05 14:48:45.000
2014-12-05 15:00:00.000,2014-12-15 13:52:30.000
2014-12-15 14:03:45.000,2014-12-23 12:56:15.000
2014-12-23 13:07:30.000,2015-01-07 12:00:00.000
2015-01-07 12:11:15.000,2015-01-15 11:03:45.000
2015-01-15 11:15:00.000,2015-01-23 10:07:30.000
2015-01-23 10:18:45.000,2015-02-02 09:11:15.000
2015-02-02 09:22:30.000,2015-02-10 08:15:00.000
2015-02-10 08:26:15.000,2015-02-18 08:26:15.000
2015-02-18 08:37:30.000,2015-02-25 21:45:00.000
2015-02-25 21:56:15.000,2015-03-05 20:48:45.000
2015-03-05 21:00:00.000,2015-03-13 19:52:30.000
2015-03-13 20:03:45.000,2015-03-23 18:56:15.000
2015-03-23 19:07:30.000,2015-03-31 18:00:00.000
2015-03-31 18:11:15.000,2015-04-10 17:03:45.000
2015-04-10 17:15:00.000,2015-04-20 16:07:30.000
2015-04-20 16:18:45.000,2015-04-28 15:11:15.000
2015-04-28 15:22:30.000,2015-05-07 14:15:00.000
2015-05-07 14:26:15.000,2015-05-15 13:18:45.000
2015-05-15 13:30:00.000,2015-05-26 12:22:30.000
2015-05-26 12:33:45.000,2015-06-03 11:26:15.000
2015-06-03 11:37:30.000,2015-06-11 10:30:00.000
2015-06-11 10:41:15.000,2015-06-19 09:33:45.000
2015-06-19 09:45:00.000,2015-06-29 08:37:30.000
2015-06-29 08:48:45.000,2015-07-06 21:56:15.000
2015-07-07 07:52:30.000,2015-07-14 21:00:00.000
2015-07-14 21:11:15.000,2015-07-22 21:56:15.000
2015-07-23 07:52:30.000,2015-07-30 21:00:00.000
2015-07-30 21:11:15.000,2015-08-07 20:03:45.000
2015-08-07 20:15:00.000,2015-08-17 19:07:30.000
2015-08-17 19:18:45.000,2015-08-25 18:11:15.000
2015-08-25 18:22:30.000,2015-09-02 17:15:00.000
2015-09-02 17:26:15.000,2015-09-10 16:18:45.000
2015-09-10 16:30:00.000,2015-09-18 15:22:30.000
2015-09-18 15:33:45.000,2015-09-28 14:26:15.000
2015-09-28 14:37:30.000,2015-10-06 13:30:00.000
2015-10-06 13:41:15.000,2015-10-14 12:33:45.000
2015-10-14 12:45:00.000,2015-10-22 11:37:30.000
2015-10-22 11:48:45.000,2015-10-30 10:41:15.000
2015-10-30 10:52:30.000,2015-11-09 09:45:00.000
2015-11-09 09:56:15.000,2015-11-17 08:48:45.000
2015-11-17 09:00:00.000,2015-11-25 07:52:30.000
2015-11-25 08:03:45.000,2015-12-02 21:11:15.000
2015-12-02 21:22:30.000,2015-12-10 20:15:00.000
2015-12-10 20:26:15.000,2015-12-18 19:18:45.000
2015-12-18 19:30:00.000,2015-12-30 18:22:30.000
2015-12-30 18:33:45.000,2016-01-11 17:26:15.000
2016-01-11 17:37:30.000,2016-01-19 16:30:00.000
2016-01-19 16:41:15.000,2016-01-27 15:33:45.000
2016-01-27 15:45:00.000,2016-02-04 14:37:30.000
2016-02-04 14:48:45.000,2016-02-12 13:41:15.000
2016-02-12 13:52:30.000,2016-02-22 14:15:00.000
2016-02-22 14:26:15.000,2016-03-01 13:18:45.000
2016-03-01 13:30:00.000,2016-03-09 12:22:30.000
2016-03-09 12:33:45.000,2016-03-17 11:26:15.000
2016-03-17 11:37:30.000,2016-03-29 10:30:00.000
2016-03-29 10:41:15.000,2016-04-06 09:33:45.000
2016-04-06 09:45:00.000,2016-04-14 08:37:30.000
2016-04-14 08:48:45.000,2016-04-21 21:56:15.000
